qs_name,scopus_id,scopus_name,scival_id,scival_name
University of Technology Sydney,60023932,University of Technology Sydney,Institution/201034,University of Technology Sydney
Indian Institute of Technology Bombay,60014153,"Indian Institute of Technology, Bombay",Institution/207030,"Indian Institute of Technology, Bombay"
National Tsing Hua University,60018029,National Tsing Hua University,Institution/217047,National Tsing Hua University
University of Waterloo,60014171,University of Waterloo,Institution/501051,University of Waterloo
Université catholique de Louvain,60000874,Universite Catholique de Louvain,Institution/303009,Universite Catholique de Louvain
University of Liverpool,60020661,University of Liverpool,Institution/315086,University of Liverpool
Universitat de Barcelona,60001576,Universitat de Barcelona,Institution/312046,University of Barcelona
Sant'Anna - Scuola Universitaria Superiore Pisa,60028039,Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento,Institution/321022,Sant'Anna School of Advanced Studies
Eberhard Karls Universität Tübingen,60017246,Universität Tübingen,Institution/309094,University of Tübingen
University of California Irvine,60007278,University of California Irvine,Institution/508261,University of California Irvine
Indian Institute of Science,60014097,"Indian Institute of Science, Bengaluru",Institution/207028,Indian Institute of Science Bangalore
University of Bergen,60029622,Universitetet i Bergen,Institution/326006,University of Bergen
Indian Institute of Technology Delhi,60032730,Indian Institute of Technology Delhi,Institution/207031,"Indian Institute of Technology, Delhi"
University of Aberdeen,60015875,University of Aberdeen,Institution/315062,University of Aberdeen
University of Twente,60020599,University of Twente,Institution/325014,University of Twente
Scuola Normale Superiore di Pisa,60030674,Scuola Normale Superiore di Pisa,Institution/321021,Scuola Normale Superiore di Pisa
University of Vienna,60025988,Universitat Wien,Institution/301013,University of Vienna
University of Otago,60017311,University of Otago,Institution/212007,University of Otago
Tecnológico de Monterrey,60007966,Tecnologico de Monterrey,Institution/505012,Instituto Tecnologico de Estudios Superiores de Monterrey
Erasmus University Rotterdam,60022265,Erasmus University Rotterdam,Institution/325003,Erasmus University Rotterdam
Queen’s University Belfast,60029738,Queen's University Belfast,Institution/315048,Queen's University Belfast
Alma Mater Studiorum - University of Bologna,60028218,Alma Mater Studiorum Università di Bologna,Institution/321040,University of Bologna
University of Florida,60013959,University of Florida,Institution/508279,University of Florida
Dartmouth College,60010756,Dartmouth College,Institution/508050,Dartmouth College
Universiti Kebangsaan Malaysia,60001821,Universiti Kebangsaan Malaysia,Institution/211003,Universiti Kebangsaan Malaysia
University of Rochester,60027165,University of Rochester,Institution/508335,University of Rochester
Case Western Reserve University,60000305,Case Western Reserve University,Institution/508032,Case Western Reserve University
Albert-Ludwigs-Universitaet Freiburg,60101437,"Albert Ludwigs Universität Freiburg, Medizinische Fakultät",Institution/309072,University of Freiburg
Vrije Universiteit Brussel,60026810,Vrije Universiteit Brussel,Institution/303014,Vrije Universiteit Brussel
King Fahd University of Petroleum & Minerals,60009506,King Fahd University of Petroleum and Minerals,Institution/409002,King Fahd University of Petroleum and Minerals
University of Colorado Boulder,60000221,University of Colorado at Boulder,Institution/508272,University of Colorado Boulder
